words,links,capital_words,spam_word_count,is_spam
164,1,2,5,0
299,8,0,10,1
211,1,0,5,0
431,1,1,2,0
108,1,3,2,0
632,8,28,8,1
161,3,9,3,1
758,2,21,3,1
220,9,24,2,1
809,3,5,10,1
894,4,11,2,1
174,1,2,3,0
109,2,17,6,1
52,1,1,2,0
37,2,2,0,0
322,9,2,10,1
205,1,1,1,0
379,0,1,0,0
106,0,3,0,0
843,10,3,5,1
198,6,19,1,1
197,0,1,6,0
117,2,3,4,0
47,1,8,1,0
292,1,3,0,0
243,2,1,2,0
229,0,1,2,0
331,2,1,1,0
414,5,2,7,1
286,3,23,3,1
95,5,1,0,0
82,10,8,0,1
583,2,10,6,1
189,2,3,2,0
102,4,27,10,1
415,2,3,1,0
266,1,3,0,0
144,0,0,9,1
162,4,25,6,1
193,6,1,8,1
142,2,10,3,1
208,1,2,2,0
447,6,21,9,1
438,1,3,5,0
151,3,11,4,1
265,2,6,6,0
532,7,25,4,1
205,0,1,2,0
58,1,3,1,0
241,1,10,1,0
341,6,28,6,1
210,0,1,1,0
251,3,4,2,0
360,2,1,5,0
144,2,3,1,0
296,10,0,10,1
657,1,17,3,1
470,1,3,1,0
248,2,1,2,0
111,2,0,2,0
491,1,10,3,0
818,6,7,0,1
333,3,5,4,1
69,7,27,6,1
79,1,0,2,0
601,5,14,0,1
827,0,26,2,1
472,9,20,1,1
212,3,7,0,0
56,4,30,8,1
168,3,6,0,1
93,1,5,1,0
171,3,15,6,1
150,0,1,1,0
615,9,7,6,1
174,1,2,2,0
839,2,7,9,1
120,3,20,4,1
283,2,3,1,0
714,10,19,3,1
68,0,1,2,0
197,0,3,0,0
272,5,20,5,1
451,1,29,10,1
302,9,22,8,1
152,2,1,6,0
115,1,3,1,0
164,10,16,8,1
510,2,30,7,1
470,2,0,3,0
870,7,1,10,1
85,5,1,1,0
750,2,13,6,1
23,0,1,5,0
391,4,22,4,1
218,2,2,0,0
100,2,0,2,0
425,6,2,5,1
27,1,2,2,0
459,1,0,2,0
835,10,4,8,1
220,2,0,2,0
92,1,0,1,0
157,2,2,8,1
156,0,0,2,0
259,10,20,7,1
183,2,0,1,0
153,2,10,5,0
384,1,12,6,1
699,7,7,6,1
133,1,5,0,0
75,1,4,0,0
804,10,15,3,1
824,1,0,8,1
227,2,0,2,0
284,2,3,4,0
132,1,0,0,0
171,1,0,1,0
336,0,22,3,1
295,2,1,3,0
923,4,20,5,1
175,1,3,1,0
359,0,1,6,1
119,1,11,5,1
440,4,4,2,0
158,2,4,1,0
298,2,1,6,0
219,0,2,1,0
633,1,19,2,1
296,2,1,2,0
97,2,29,10,1
111,1,3,1,0
167,3,29,3,1
702,2,4,7,1
352,0,3,0,0
182,4,7,8,1
961,7,1,4,1
953,8,9,4,1
151,4,10,1,0
78,1,9,2,0
565,7,20,1,1
164,7,10,6,1
759,8,11,8,1
89,5,15,9,1
533,4,5,5,1
155,2,1,1,0
282,0,1,4,0
822,9,20,5,1
83,1,0,0,0
266,1,1,0,0
975,8,20,5,1
274,1,3,1,0
130,1,2,2,0
226,4,8,9,1
174,5,6,2,0
739,2,23,10,1
859,1,28,5,1
764,10,23,3,1
206,4,20,6,1
42,2,3,2,0
279,0,1,0,0
211,1,2,4,0
213,1,3,0,0
477,2,29,3,1
161,3,26,8,1
473,4,12,9,1
45,0,4,1,0
165,2,3,0,0
34,2,1,0,0
39,0,3,1,0
473,1,0,1,0
125,1,0,0,0
941,9,8,0,1
117,2,0,2,0
65,3,2,1,0
553,4,25,4,1
158,2,2,1,0
200,2,2,0,0
131,7,20,10,1
765,1,26,10,1
638,7,25,9,1
247,0,1,2,0
825,6,21,8,1
140,0,3,2,0
239,4,5,2,1
498,7,10,5,1
808,6,14,3,1
163,1,1,3,0
186,6,12,4,1
792,6,28,7,1
33,2,1,1,0
131,0,10,4,1
545,10,7,0,1
266,2,5,4,0
88,0,1,1,0
247,2,3,2,0
333,10,7,10,1
803,0,16,5,1
121,7,5,8,1
119,0,27,7,1
372,8,6,9,1
61,1,2,1,0
199,7,5,4,1
160,2,2,2,0
50,1,1,0,0
200,1,0,0,0
770,9,0,7,1
169,0,0,2,0
274,0,0,1,0
349,3,6,10,1
147,0,3,2,0
506,10,9,10,1
231,1,20,5,1
247,1,7,6,1
665,3,4,10,1
679,10,7,6,1
287,4,2,0,0
844,10,8,1,1
238,1,7,2,0
245,0,1,2,0
105,10,15,3,1
271,4,1,0,0
605,7,16,7,1
225,2,8,2,0
89,4,26,4,1
155,9,30,1,1
199,2,2,0,0
237,8,10,3,1
56,0,3,2,0
161,8,26,9,1
202,1,5,3,0
242,0,1,1,0
167,2,3,4,0
77,2,0,0,0
84,2,1,2,0
823,4,7,10,1
404,1,2,6,0
226,5,8,2,0
278,2,3,0,0
184,2,0,0,0
454,2,0,5,0
96,1,0,2,0
647,2,5,1,1
798,5,12,7,1
529,5,9,7,1
35,2,6,4,0
962,8,5,5,1
149,1,0,1,0
531,3,25,3,1
278,4,1,3,0
323,3,25,3,1
716,3,28,1,1
167,2,0,2,0
79,4,20,3,1
207,6,2,5,1
122,2,2,2,0
935,9,17,10,1
36,2,2,6,0
171,0,1,0,0
289,0,0,2,0
308,1,3,6,0
259,4,0,1,0
101,3,0,1,1
410,5,22,9,1
271,1,3,6,0
145,1,2,0,0
868,10,16,5,1
408,1,0,1,0
394,8,1,3,1
231,4,0,1,0
470,1,18,9,1
51,1,1,0,0
275,1,0,0,0
997,6,6,7,1
638,5,22,3,1
39,1,0,0,0
489,5,28,0,1
142,0,0,2,0
69,0,2,2,0
302,6,21,8,1
314,2,8,0,0
255,2,0,0,0
215,1,5,2,0
61,8,7,4,1
182,9,27,0,1
892,6,8,6,1
350,7,22,7,1
325,1,0,2,0
923,6,19,9,1
146,4,28,5,1
58,0,2,2,0
243,2,0,1,0
993,5,18,5,1
39,0,4,0,0
871,3,10,8,1
112,3,13,7,1
58,1,0,1,0
53,0,0,1,0
185,4,26,2,1
641,10,14,3,1
62,0,10,2,0
935,4,10,8,1
262,1,0,0,0
169,0,2,1,0
195,3,12,9,1
92,3,17,5,1
157,2,0,2,0
610,4,25,3,1
247,1,1,4,0
248,4,10,1,0
30,0,2,4,0
158,10,26,4,1
123,0,0,2,0
185,0,0,0,0
856,3,1,6,1
143,0,5,8,1
155,1,1,0,0
199,2,0,4,1
731,10,3,0,1
483,0,15,7,1
253,0,2,5,0
214,1,2,3,0
891,3,18,4,1
414,3,14,3,1
891,3,10,7,1
710,2,6,7,1
178,1,1,1,0
538,2,16,0,1
198,3,3,2,0
951,8,8,6,1
120,7,5,2,1
131,10,16,7,1
446,0,2,0,0
305,2,6,10,1
144,6,8,4,1
112,7,6,5,1
463,8,7,8,1
67,0,6,5,0
172,2,0,4,1
43,2,1,1,0
216,0,2,2,0
849,0,30,2,1
69,4,1,3,0
190,4,5,3,1
132,3,23,3,1
326,8,11,4,1
157,2,24,6,1
832,1,5,3,1
145,2,3,0,0
354,5,6,4,1
197,2,3,1,0
237,0,6,0,0
212,0,0,2,0
860,9,13,10,1
214,2,3,0,0
908,5,4,8,1
156,1,0,2,0
638,9,1,6,1
280,0,2,6,0
180,9,3,10,1
210,0,0,4,0
160,9,0,3,1
81,0,2,2,0
955,5,11,5,1
516,9,2,4,1
183,6,22,6,1
301,1,21,3,1
35,0,1,1,0
55,2,3,2,0
645,2,9,3,1
929,7,19,1,1
272,10,8,4,1
144,5,29,6,1
177,10,11,7,1
57,8,15,6,1
836,3,6,3,1
202,2,2,0,0
241,1,5,1,0
60,2,3,2,0
165,0,1,1,0
911,3,17,4,1
869,5,24,3,1
28,0,1,0,0
300,5,3,6,1
519,6,5,10,1
926,3,22,5,1
243,1,3,0,0
608,10,8,6,1
148,2,15,3,1
116,10,5,0,1
889,2,24,10,1
126,1,3,0,0
88,2,2,0,0
197,9,6,3,1
230,1,2,2,0
178,3,1,0,0
92,1,7,0,0
269,0,0,0,0
220,2,1,1,0
165,0,20,4,1
631,6,22,0,1
238,0,2,2,0
65,3,2,7,1
464,2,3,1,1
99,2,2,2,0
165,2,3,5,0
60,0,0,0,0
665,2,23,0,1
250,2,3,6,0
21,0,1,2,0
180,1,1,2,0
68,1,1,2,0
87,3,0,2,0
163,2,3,2,0
193,10,7,4,1
256,2,3,2,0
195,3,17,6,1
364,3,23,6,1
972,7,13,5,1
994,8,16,0,1
208,3,19,8,1
255,1,2,0,0
478,0,9,9,1
718,2,4,8,1
299,1,8,2,0
227,2,4,1,0
26,2,1,2,0
565,7,15,5,1
228,2,8,6,0
155,2,8,1,0
240,1,1,1,0
35,2,0,2,0
721,5,19,1,1
198,1,7,3,0
443,1,28,6,1
51,0,2,0,0
194,2,0,5,0
184,2,0,2,0
546,0,22,7,1
76,0,7,6,0
157,0,23,8,1
223,9,30,1,1
363,5,11,5,1
153,2,3,1,0
217,8,0,10,1
165,0,2,0,0
632,4,24,4,1
58,2,2,6,0
174,4,7,2,0
46,2,3,1,0
278,2,0,0,0
355,1,15,5,1
270,2,2,2,0
152,5,23,6,1
899,2,21,7,1
134,5,1,0,0
979,5,1,7,1
458,7,16,8,1
314,9,7,4,1
130,7,2,6,1
187,4,18,3,1
283,5,3,0,0
136,4,16,10,1
70,2,0,1,0
46,0,3,2,0
294,1,0,1,0
232,0,3,1,0
189,2,26,1,1
479,1,0,1,0
83,1,0,0,0
363,0,2,0,0
123,9,2,3,1
70,7,1,8,1
982,6,8,8,1
81,5,23,3,1
253,0,3,0,0
155,0,7,0,0
251,8,10,9,1
92,0,1,2,0
86,0,5,0,0
435,9,6,5,1
567,5,16,3,1
244,3,1,2,0
535,3,11,3,1
261,1,2,2,0
339,2,1,2,0
46,1,0,2,0
56,0,8,1,0
305,8,12,4,1
841,4,15,9,1
714,4,20,9,1
247,2,0,1,0
745,10,18,6,1
209,2,0,1,0
218,2,2,1,0
92,0,3,0,0
417,4,4,8,1
257,0,2,2,0
99,2,16,9,1
86,2,1,2,0
116,1,5,0,0
247,1,3,0,0
130,1,1,0,0
665,9,15,8,1
82,7,28,9,1
785,4,22,6,1
217,7,23,7,1
919,0,16,8,1
655,1,28,3,1
73,9,5,0,1
161,5,5,0,0
549,3,22,5,1
867,2,1,8,1
745,2,10,8,1
133,0,1,0,0
159,6,19,7,1
134,5,3,10,1
616,7,5,4,1
127,5,23,10,1
866,7,5,8,1
306,0,26,10,1
558,6,0,10,1
127,4,3,1,0
187,2,4,3,0
207,4,3,0,0
513,4,4,1,1
230,3,14,7,1
487,2,0,0,0
268,2,2,1,0
136,0,6,2,0
229,0,4,6,0
699,2,24,5,1
125,2,0,2,0
249,0,3,2,0
542,2,22,3,1
884,4,5,8,1
193,0,0,2,0
220,4,3,1,0
293,2,6,0,0
665,7,29,10,1
238,3,11,9,1
177,2,13,8,1
289,0,0,0,0
205,5,16,7,1
596,1,5,0,1
835,5,18,10,1
54,7,14,4,1
82,3,17,6,1
409,5,16,2,1
715,8,14,7,1
83,4,2,1,0
21,2,3,0,0
652,2,9,6,1
314,5,15,7,1
197,0,2,0,0
788,3,10,3,1
158,1,2,2,0
68,1,1,1,0
178,3,20,3,1
997,4,30,3,1
489,6,15,6,1
78,0,1,2,0
134,1,1,3,0
26,2,1,1,0
151,0,0,2,0
297,5,2,0,0
116,1,3,0,0
189,0,2,0,0
848,8,0,3,1
259,3,15,6,1
695,2,0,3,1
614,4,28,0,1
720,0,30,3,1
424,10,1,7,1
176,1,6,2,0
732,0,5,7,1
283,0,2,1,0
909,9,12,7,1
493,9,6,9,1
163,2,0,0,0
86,2,3,1,0
198,7,22,8,1
453,6,8,7,1
169,9,12,8,1
241,2,0,2,0
596,2,6,2,1
874,1,1,5,1
140,0,2,1,0
457,6,26,10,1
131,1,0,1,0
488,0,3,2,0
188,9,12,6,1
551,3,29,6,1
690,2,11,8,1
525,3,20,1,1
153,5,0,0,0
778,4,28,6,1
477,2,25,10,1
262,0,3,0,0
599,7,9,9,1
318,7,26,5,1
107,4,18,8,1
151,1,0,6,0
22,1,3,4,0
457,2,1,2,0
430,8,16,3,1
300,0,1,1,0
217,2,3,2,0
184,1,0,8,1
96,7,5,10,1
160,1,1,2,0
234,4,25,5,1
150,5,1,7,1
107,3,29,10,1
142,9,24,10,1
66,3,26,9,1
170,10,2,6,1
167,5,3,4,0
183,1,23,3,1
832,4,16,1,1
87,0,3,0,0
158,6,19,1,1
207,0,2,0,0
250,10,29,5,1
89,10,28,4,1
464,5,0,2,0
228,1,1,1,0
66,1,3,2,0
159,0,0,0,0
775,10,1,3,1
475,5,8,3,1
72,2,19,4,1
169,1,0,6,0
584,9,12,1,1
388,7,1,8,1
129,2,0,1,0
217,2,10,0,0
121,1,2,3,0
100,7,20,5,1
33,1,3,1,0
615,7,7,7,1
195,1,0,0,0
977,3,5,6,1
232,1,2,2,0
250,3,7,0,0
52,2,3,0,0
99,0,1,1,0
212,2,0,6,0
47,5,0,0,0
190,3,3,2,0
631,2,30,4,1
263,2,1,1,0
645,6,23,3,1
168,3,27,5,1
106,8,17,3,1
351,4,27,2,1
130,5,13,4,1
61,2,2,3,0
306,2,7,0,0
254,0,1,2,0
90,2,1,1,0
182,2,0,2,0
732,6,27,7,1
285,2,3,1,0
212,0,3,3,0
475,7,15,10,1
144,8,27,10,1
119,4,4,3,1
361,3,14,10,1
435,2,0,1,0
528,4,17,7,1
860,3,23,5,1
29,1,2,1,0
289,3,3,3,0
53,2,16,6,1
754,9,24,4,1
82,2,2,1,0
38,2,6,1,0
259,2,7,7,1
39,0,0,0,0
145,2,2,0,0
162,2,4,0,0
88,1,25,10,1
728,6,5,9,1
340,1,3,6,0
472,2,1,2,0
335,2,1,1,0
213,0,0,4,0
257,1,10,1,0
177,0,0,0,0
304,1,6,2,0
149,1,7,2,0
474,6,7,7,1
534,3,6,0,1
741,3,13,10,1
823,5,9,9,1
148,8,4,8,1
297,9,14,3,1
109,3,2,0,1
137,2,2,0,0
427,3,3,0,0
280,2,2,2,0
38,1,0,1,0
176,4,5,5,1
299,0,2,0,0
346,1,4,5,0
681,7,22,1,1
768,9,4,2,1
106,0,2,1,0
557,2,25,1,1
168,2,1,2,0
269,4,1,2,0
933,3,29,4,1
42,2,3,1,0
158,2,1,2,0
150,0,10,0,0
132,6,14,7,1
165,1,0,0,0
513,2,23,3,1
45,0,2,0,0
415,3,19,9,1
172,9,2,6,1
62,2,10,1,0
981,3,13,7,1
179,5,7,8,1
55,4,10,10,1
220,1,0,0,0
637,3,30,1,1
810,7,16,4,1
296,2,8,1,0
257,4,3,1,0
243,2,2,2,0
961,9,30,6,1
888,2,8,5,1
910,9,9,5,1
502,2,4,5,1
965,1,11,6,1
32,0,2,1,0
651,9,11,10,1
188,1,3,0,0
288,1,2,4,0
909,1,25,4,1
495,1,1,3,0
79,1,3,3,0
764,6,14,10,1
752,6,24,3,1
442,4,2,10,1
151,1,3,6,0
736,3,3,9,1
308,0,2,2,0
195,5,1,1,0
318,4,25,6,1
157,2,0,0,0
715,9,28,5,1
102,2,0,2,0
693,9,26,2,1
710,0,26,4,1
421,7,17,5,1
214,5,29,4,1
224,1,3,2,0
184,6,13,3,1
183,9,5,9,1
56,3,1,2,0
361,9,25,9,1
57,1,10,2,0
393,4,6,9,1
98,2,0,3,0
134,9,2,8,1
809,2,5,6,1
114,10,28,9,1
93,1,5,2,0
893,9,6,10,1
107,2,0,2,0
252,2,1,1,0
129,6,20,1,1
728,2,22,3,1
222,2,0,2,0
809,2,28,6,1
394,8,25,8,1
215,2,0,4,0
89,2,1,0,0
131,2,6,6,1
876,7,0,8,1
177,3,19,4,1
292,0,4,0,0
142,0,0,1,0
296,2,28,9,1
396,8,24,2,1
130,0,0,0,0
205,1,2,0,0
612,6,9,0,1
143,4,0,8,1
169,0,4,1,0
246,1,2,4,0
157,1,2,1,0
20,2,3,0,0
232,1,2,1,0
343,5,0,4,1
936,3,29,4,1
640,3,16,2,1
875,2,21,7,1
757,8,0,6,1
164,9,25,6,1
358,1,17,1,1
892,7,3,4,1
139,0,3,1,0
224,0,3,2,0
185,2,1,1,0
955,8,16,10,1
369,0,3,2,0
197,0,0,1,0
210,3,5,9,1
409,10,25,4,1
231,8,6,7,1
194,0,3,1,0
136,9,10,3,1
189,1,2,1,0
767,5,4,6,1
333,10,13,6,1
432,9,29,10,1
621,10,28,2,1
194,3,19,3,1
242,1,0,0,0
490,3,30,1,1
838,2,6,9,1
130,2,1,6,0
520,3,24,0,1
204,1,8,2,0
270,2,2,4,0
103,4,0,2,0
244,0,1,1,0
905,5,5,7,1
189,4,8,9,1
290,1,3,6,0
759,5,2,5,1
408,2,21,0,1
119,0,2,0,0
973,9,27,9,1
610,8,18,3,1
40,4,3,0,0
132,5,3,1,0
611,4,22,4,1
706,4,6,7,1
269,1,8,0,0
195,4,0,2,0
286,0,9,1,0
559,10,21,10,1
149,1,0,0,0
606,10,17,7,1
474,2,3,0,0
874,6,25,4,1
111,2,0,3,0
694,5,11,1,1
295,0,3,1,0
151,1,2,6,0
34,2,6,2,0
57,1,2,0,0
379,0,3,2,0
250,10,0,4,1
559,5,28,9,1
143,2,1,1,0
105,1,2,2,0
148,2,0,2,0
196,0,3,4,0
892,7,24,8,1
82,5,21,0,1
111,0,3,3,0
150,0,3,2,0
183,2,9,0,0
306,5,8,0,0
80,3,13,6,1
77,5,27,6,1
617,2,14,6,1
242,0,5,1,0
638,6,21,1,1
616,3,8,7,1
76,1,2,0,0
440,1,3,2,0
123,10,9,4,1
138,5,14,0,1
475,4,15,8,1
766,10,11,10,1
428,3,25,0,1
295,2,2,1,0
872,10,17,8,1
57,7,5,1,1
288,7,18,3,1
154,5,0,2,0
198,2,2,0,0
72,7,7,1,1
204,1,0,6,0
244,9,4,10,1
154,2,3,5,0
208,4,1,2,0
197,10,21,8,1
184,9,6,3,1
533,2,5,4,1
193,1,3,1,0
353,2,7,5,1
163,0,10,2,0
126,0,13,10,1
730,8,20,4,1
333,1,5,10,1
618,4,1,6,1
121,6,20,9,1
162,3,3,5,0
269,2,1,0,0
108,4,3,0,0
114,7,5,7,1
779,3,23,8,1
218,2,0,4,0
182,1,1,1,0
85,4,16,10,1
402,2,3,2,0
186,6,7,7,1
127,3,24,5,1
897,7,4,10,1
284,1,3,0,0
274,2,0,2,0
187,0,2,2,0
161,6,22,3,1
197,7,0,10,1
220,1,3,0,0
138,2,11,3,1
288,3,6,1,0
141,1,10,0,0
216,1,0,5,0
131,8,10,3,1
215,1,1,0,0
622,7,9,1,1
131,0,2,0,0
34,1,2,0,0
791,3,22,7,1
205,1,8,0,0
461,1,2,0,0
429,2,2,1,0
183,8,13,9,1
857,7,6,9,1
253,2,0,0,0
933,2,7,3,1
394,8,27,9,1
577,6,1,5,1
178,7,19,9,1
452,4,20,5,1
84,1,14,10,1
122,9,5,9,1
237,1,4,3,1
474,4,13,3,1
223,7,21,3,1
553,3,9,10,1
192,1,0,2,0
275,0,9,1,0
938,2,6,9,1
151,2,3,6,0
175,5,6,9,1
521,7,25,2,1
273,0,1,2,0
204,1,1,0,0
59,2,0,0,0
282,4,26,6,1
63,1,6,0,0
72,2,0,2,0
106,8,3,6,1
296,2,3,1,0
65,7,15,6,1
103,1,3,1,0
133,2,0,0,0
782,1,14,5,1
134,2,16,2,1
193,6,5,2,1
659,2,27,3,1
442,3,28,10,1
246,4,1,0,0
290,10,18,0,1
122,0,8,1,1
383,10,10,1,1
814,7,7,7,1
63,0,17,4,1
220,3,13,3,1
868,9,14,5,1
386,10,26,2,1
536,9,5,10,1
120,2,21,3,1
45,2,0,1,0
151,1,3,2,0
592,7,3,3,1
275,1,2,2,0
199,0,2,4,0
178,0,1,0,0
213,0,1,5,1
294,0,2,5,0
301,8,23,10,1
165,1,2,0,0
258,1,3,1,0
567,1,16,4,1
468,1,4,1,0
935,8,12,5,1
928,9,5,4,1
218,6,18,9,1
83,10,5,4,1
176,3,12,3,1
99,2,3,3,0
97,4,15,10,1
482,3,16,6,1
201,0,7,2,0
136,4,1,2,0
299,2,6,7,1
192,9,5,10,1
377,1,11,0,1
170,2,0,0,0
858,5,12,3,1
204,2,1,2,0
25,2,3,1,0
545,4,4,8,1
484,2,1,3,0
148,0,0,2,0
252,2,0,0,0
529,2,30,9,1
144,1,4,0,0
602,10,16,6,1
500,5,8,7,1
195,2,3,0,0
282,1,0,0,0
754,2,12,5,1
156,2,3,2,0
210,4,0,1,0
176,8,24,1,1
31,1,2,1,0
780,3,7,8,1
234,1,0,2,0
440,10,5,7,1
255,10,7,10,1
677,7,28,7,1
200,2,2,5,0
524,2,11,4,1
402,2,3,2,0
515,3,2,3,1
686,8,14,10,1
593,8,15,3,1
993,3,29,3,1
291,1,1,2,0
538,3,20,5,1
758,10,26,0,1
156,2,2,1,0
331,3,8,10,1
261,6,5,5,1
82,2,3,2,0
300,10,30,7,1
190,2,0,1,0
689,10,27,9,1
686,6,20,7,1
23,3,0,1,0
221,1,5,2,0
324,8,19,10,1
914,10,5,10,1
224,5,3,1,0
873,0,17,8,1
363,1,2,0,0
124,2,0,8,1
